Product,Issue,Company
Credit card,APR or interest rate,JPMorgan Chase & Co.
Credit card,Balance transfer,Barclays PLC
Credit card,Identity theft / Fraud / Embezzlement,Barclays PLC
Credit card,Identity theft / Fraud / Embezzlement,Wells Fargo & Company
Credit card,Advertising and marketing,Barclays PLC
Credit card,Other,Amex
Credit card,Transaction issue,JPMorgan Chase & Co.
Credit card,Balance transfer,Citibank
Credit card,Transaction issue,Capital One
Credit card,Other,Barclays PLC
Credit card,Credit determination,Bank of America
Credit card,Other,Bank of America
Credit card,Other fee,Amex
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,Delinquent account,Bank of America
Credit card,Credit card protection / Debt protection,Bank of America
Credit card,Billing disputes,Barclays PLC
Credit card,Billing disputes,Citibank
Credit card,Billing disputes,Discover
Credit card,Transaction issue,"Plastyc, Inc."
Credit card,APR or interest rate,Citibank
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Capital One
Credit card,Advertising and marketing,"Citizens Financial Group, Inc."
Credit card,Other,Bank of America
Credit card,Balance transfer,Citibank
Credit card,Late fee,Amex
Credit card,Other,Amex
Credit card,Unsolicited issuance of credit card,"NetSpend Corporation,  a TSYS Company"
Credit card,Identity theft / Fraud / Embezzlement,Bank of America
Credit card,Identity theft / Fraud / Embezzlement,Synchrony Financial
Credit card,Rewards,Citibank
Credit card,Credit card protection / Debt protection,U.S. Bancorp
Credit card,APR or interest rate,Synchrony Financial
Credit card,Other,JPMorgan Chase & Co.
Credit card,Billing disputes,"PayPal Holdings, Inc."
Credit card,Transaction issue,Capital One
Credit card,Rewards,U.S. Bancorp
Credit card,Closing/Cancelling account,Capital One
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Sale of account,Capital One
Credit card,Billing disputes,Capital One
Credit card,Billing disputes,Synchrony Financial
Credit card,Balance transfer,Discover
Credit card,Other,Capital One
Credit card,Identity theft / Fraud / Embezzlement,Discover
Credit card,Billing disputes,TD Bank US Holding Company
Credit card,Payoff process,JPMorgan Chase & Co.
Credit card,Billing statement,Amex
Credit card,Other,Citibank
Credit card,Advertising and marketing,Barclays PLC
Credit card,Late fee,Synchrony Financial
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Tate and Kirlin Assoc
Credit card,Billing statement,First Niagara Bank
Credit card,Closing/Cancelling account,Synchrony Financial
Credit card,Delinquent account,Citibank
Credit card,Balance transfer,Amex
Credit card,Billing disputes,Synchrony Financial
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Advertising and marketing,Discover
Credit card,Balance transfer,Capital One
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,Billing disputes,Bank of America
Credit card,Other,Capital One
Credit card,Payoff process,Capital One
Credit card,Transaction issue,Citibank
Credit card,Late fee,Citibank
Credit card,Delinquent account,Citibank
Credit card,Bankruptcy,"Portfolio Recovery Associates, Inc."
Credit card,Closing/Cancelling account,Citibank
Credit card,Closing/Cancelling account,Wells Fargo & Company
Credit card,Billing disputes,Capital One
Credit card,Customer service / Customer relations,Barclays PLC
Credit card,Other,Bank of America
Credit card,Billing disputes,"PayPal Holdings, Inc."
Credit card,Billing disputes,Amex
Credit card,Closing/Cancelling account,Capital One
Credit card,Closing/Cancelling account,U.S. Bancorp
Credit card,Advertising and marketing,Amex
Credit card,Closing/Cancelling account,Barclays PLC
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Bank of America
Credit card,Delinquent account,Synchrony Financial
Credit card,Convenience checks,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Bank of America
Credit card,Delinquent account,"SunTrust Banks, Inc."
Credit card,Delinquent account,JPMorgan Chase & Co.
Credit card,Billing disputes,Synchrony Financial
Credit card,Credit line increase/decrease,Bank of America
Credit card,Billing disputes,Barclays PLC
Credit card,Advertising and marketing,Citibank
Credit card,Billing disputes,Synchrony Financial
Credit card,Other,Wells Fargo & Company
Credit card,Closing/Cancelling account,Bank of America
Credit card,Transaction issue,Citibank
Credit card,Other,Capital One
Credit card,Payoff process,Pentagon FCU
Credit card,Delinquent account,Citibank
Credit card,Rewards,Amex
Credit card,Advertising and marketing,Amex
Credit card,Billing disputes,Capital One
Credit card,Closing/Cancelling account,Discover
Credit card,Cash advance,Bank of America
Credit card,Identity theft / Fraud / Embezzlement,Amex
Credit card,Identity theft / Fraud / Embezzlement,Citibank
Credit card,Identity theft / Fraud / Embezzlement,Regions Financial Corporation
Credit card,Other,USAA Savings
Credit card,Delinquent account,Bank of America
Credit card,Billing statement,"SunTrust Banks, Inc."
Credit card,Delinquent account,Capital One
Credit card,Delinquent account,Synchrony Financial
Credit card,Credit determination,U.S. Bancorp
Credit card,Credit card protection / Debt protection,Capital One
Credit card,Other,Amex
Credit card,Billing statement,Capital One
Credit card,Other fee,Synchrony Financial
Credit card,Billing disputes,Citibank
Credit card,Unsolicited issuance of credit card,Wells Fargo & Company
Credit card,APR or interest rate,Synchrony Financial
Credit card,Advertising and marketing,Citibank
Credit card,Payoff process,Santander Bank US
Credit card,Other,Bank of America
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Late fee,Citibank
Credit card,Customer service / Customer relations,"Weltman, Weinberg & Reis"
Credit card,Advertising and marketing,JPMorgan Chase & Co.
Credit card,Credit card protection / Debt protection,"Pinnacle Recovery, Inc."
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Billing disputes,HSBC North America Holdings Inc.
Credit card,Advertising and marketing,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,HSBC North America Holdings Inc.
Credit card,Other,Amex
Credit card,Other,Amex
Credit card,Other,Wells Fargo & Company
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Sale of account,Capital One
Credit card,Payoff process,Amex
Credit card,Delinquent account,Citibank
Credit card,Advertising and marketing,"Citizens Financial Group, Inc."
Credit card,Delinquent account,Barclays PLC
Credit card,Late fee,TD Bank US Holding Company
Credit card,Customer service / Customer relations,Discover
Credit card,Billing disputes,Citibank
Credit card,Other,"Citizens Financial Group, Inc."
Credit card,Other fee,Barclays PLC
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Rewards,Discover
Credit card,Closing/Cancelling account,Discover
Credit card,Payoff process,Capital One
Credit card,Transaction issue,HSBC North America Holdings Inc.
Credit card,Closing/Cancelling account,USAA Savings
Credit card,Billing disputes,Fifth Third Financial Corporation
Credit card,Other,JPMorgan Chase & Co.
Credit card,Application processing delay,Amex
Credit card,Closing/Cancelling account,Discover
Credit card,Other,Bank of America
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Transaction issue,Bank of America
Credit card,Advertising and marketing,USAA Savings
Credit card,Other fee,Synchrony Financial
Credit card,Delinquent account,Citibank
Credit card,Advertising and marketing,Barclays PLC
Credit card,Delinquent account,Synchrony Financial
Credit card,Identity theft / Fraud / Embezzlement,Citibank
Credit card,Closing/Cancelling account,Discover
Credit card,Other,JPMorgan Chase & Co.
Credit card,Delinquent account,Bank of America
Credit card,Late fee,Synchrony Financial
Credit card,Other,Barclays PLC
Credit card,Transaction issue,JPMorgan Chase & Co.
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Identity theft / Fraud / Embezzlement,Citibank
Credit card,Other,First National Bank of Omaha
Credit card,Billing disputes,Capital One
Credit card,Advertising and marketing,USAA Savings
Credit card,Closing/Cancelling account,Discover
